id,A,B,C,DV
1,A1,1,1,72.5
2,A1,1,1,61.7
3,A1,1,1,76.1
4,A1,1,1,93
5,A1,1,1,82.9
6,A1,1,1,75.6
7,A2,1,1,61.1
8,A2,1,1,53.2
9,A2,1,1,63.2
10,A2,1,1,55.1
11,A2,1,1,53.2
12,A2,1,1,49.9
13,A3,1,1,43.1
14,A3,1,1,39.2
15,A3,1,1,41.9
16,A3,1,1,28.5
17,A3,1,1,36.3
18,A3,1,1,34.9
1,A1,1,2,87.5
2,A1,1,2,66.2
3,A1,1,2,89.4
4,A1,1,2,98
5,A1,1,2,85.1
6,A1,1,2,90.2
7,A2,1,2,65.3
8,A2,1,2,58.2
9,A2,1,2,63.8
10,A2,1,2,55.7
11,A2,1,2,61.9
12,A2,1,2,63.2
13,A3,1,2,45.6
14,A3,1,2,43.1
15,A3,1,2,47.2
16,A3,1,2,35.9
17,A3,1,2,41.2
18,A3,1,2,40
1,A1,2,1,3.2
2,A1,2,1,2.1
3,A1,2,1,4.3
4,A1,2,1,5.1
5,A1,2,1,3.6
6,A1,2,1,2.2
7,A2,2,1,3.2
8,A2,2,1,3.1
9,A2,2,1,1.9
10,A2,2,1,1.7
11,A2,2,1,1.6
12,A2,2,1,2.2
13,A3,2,1,1.9
14,A3,2,1,1.7
15,A3,2,1,2
16,A3,2,1,3.9
17,A3,2,1,1.3
18,A3,2,1,3.9
1,A1,2,2,3.6
2,A1,2,2,3.7
3,A1,2,2,5
4,A1,2,2,5.5
5,A1,2,2,4.9
6,A1,2,2,3.3
7,A2,2,2,4
8,A2,2,2,4.1
9,A2,2,2,1.9
10,A2,2,2,2.3
11,A2,2,2,2.8
12,A2,2,2,3.1
13,A3,2,2,2.3
14,A3,2,2,3.9
15,A3,2,2,2.2
16,A3,2,2,4.1
17,A3,2,2,2
18,A3,2,2,3.9
1,A1,3,1,0.74
2,A1,3,1,1.1
3,A1,3,1,1.8
4,A1,3,1,1
5,A1,3,1,0.8
6,A1,3,1,1
7,A2,3,1,0.9
8,A2,3,1,1
9,A2,3,1,1.3
10,A2,3,1,2.1
11,A2,3,1,1.8
12,A2,3,1,1.3
13,A3,3,1,1.7
14,A3,3,1,1.4
15,A3,3,1,1.9
16,A3,3,1,1.8
17,A3,3,1,1
18,A3,3,1,2.2
1,A1,3,2,1.3
2,A1,3,2,1.7
3,A1,3,2,2.2
4,A1,3,2,1.9
5,A1,3,2,1.1
6,A1,3,2,1.8
7,A2,3,2,1.3
8,A2,3,2,1.5
9,A2,3,2,2
10,A2,3,2,1.8
11,A2,3,2,0.9
12,A2,3,2,1.9
13,A3,3,2,1.4
14,A3,3,2,1.9
15,A3,3,2,2.1
16,A3,3,2,2.5
17,A3,3,2,0.8
18,A3,3,2,1.5
