p0,p1,alpha,beta,S1_r1_n1,S2_r2_n1n2,S3_r3_n1n2n3
0.05,0.2,0.1,0.1,0/18,1/26,3/32
,,0.05,0.2,0/14,1/20,3/27
,,0.05,0.1,0/23,1/30,4/38
0.1,0.25,0.1,0.1,1/23,3/33,6/40
,,0.05,0.2,1/17,3/30,7/40
,,0.05,0.1,1/21,4/39,9/55
0.15,0.3,0.1,0.1,2/23,5/36,11/53
,,0.05,0.2,2/19,6/36,11/48
,,0.05,0.1,4/35,8/51,14/64
0.2,0.35,0.1,0.1,5/30,9/45,15/58
,,0.05,0.2,3/22,7/35,15/53
,,0.05,0.1,16/65,19/72,20/74
0.25,0.4,0.1,0.1,6/31,11/46,20/64
,,0.05,0.2,7/30,12/42,20/60
,,0.05,0.1,9/47,17/67,27/83
0.3,0.45,0.1,0.1,7/29,16/51,25/69
,,0.05,0.2,8/29,14/42,25/65
,,0.05,0.1,12/46,25/73,33/88
0.35,0.5,0.1,0.1,12/39,20/57,30/72
,,0.05,0.2,10/33,18/48,29/66
,,0.05,0.1,11/36,22/60,40/94
0.4,0.55,0.1,0.1,10/30,19/48,34/73
,,0.05,0.2,13/33,30/63,34/70
,,0.05,0.1,20/55,32/77,45/94
0.45,0.6,0.1,0.1,18/41,35/69,38/74
,,0.05,0.2,13/32,25/53,38/70
,,0.05,0.1,26/58,47/90,50/95
0.5,0.65,0.1,0.1,19/40,24/64,41/72
,,0.05,0.2,18/36,36/62,40/68
,,0.05,0.1,19/43,34/67,54/93
0.55,0.7,0.1,0.1,23/43,36/60,42/68
,,0.05,0.2,18/33,41/64,42/66
,,0.05,0.1,23/43,42/84,45/89
0.6,0.75,0.1,0.1,19/35,30/50,43/64
,,0.05,0.2,19/32,40/58,42/61
,,0.05,0.1,18/46,50/75,57/84
0.65,0.8,0.1,0.1,22/33,26/41,43/60
,,0.05,0.2,16/26,27/40,41/55
,,0.05,0.2,25/41,37/56,55/75
0.7,0.85,0.1,0.1,15/22,18/37,40/52
,,0.05,0.2,11/17,16/24,39/49
,,0.05,0.1,13/20,31/42,43/68
0.75,0.9,0.1,0.1,11/17,22/29,33/40
,,0.05,0.2,8/12,16/21,33/39
,,0.05,0.1,12/17,23/30,45/54
0.8,0.95,0.1,0.1,1/3,17/20,26/30
,,0.05,0.2,7/9,16/19,26/29
,,0.05,0.1,16/20,31/35,35/40
0.05,0.25,0.1,0.1,0/13,1/18,2/20
,,0.05,0.2,0/12,1/15,2/16
,,0.05,0.1,0/15,1/21,3/25
0.1,0.3,0.1,0.1,0/12,1/16,4/25
,,0.05,0.2,0/11,2/19,5/25
,,0.05,0.1,0/14,2/22,6/33
0.15,0.35,0.1,0.1,1/13,3/22,7/32
,,0.05,0.2,1/12,3/19,7/28
,,0.05,0.1,1/16,4/28,9/38
0.2,0.4,0.1,0.1,2/16,5/26,10/36
,,0.05,0.2,2/13,5/22,10/33
,,0.05,0.1,2/16,6/28,13/45
0.25,0.45,0.1,0.1,3/18,8/31,13/39
,,0.05,0.2,3/15,6/23,13/36
,,0.05,0.1,4/21,9/35,17/45
0.3,0.5,0.1,0.1,6/26,11/35,15/39
,,0.05,0.2,3/13,8/24,16/39
,,0.05,0.1,5/20,12/36,21/53
0.35,0.55,0.1,0.1,2/11,10/27,18/42
,,0.05,0.2,4/14,9/24,18/39
,,0.05,0.1,10/34,17/45,24/53
0.4,0.6,0.1,0.1,5/17,9/26,20/41
,,0.05,0.2,4/12,11/25,21/41
,,0.05,0.1,7/20,17/39,27/54
0.45,0.65,0.1,0.1,6/16,13/29,22/41
,,0.05,0.2,6/15,12/24,22/39
,,0.05,0.1,15/32,28/51,29/53
0.5,0.7,0.1,0.1,7/17,14/28,23/39
,,0.05,0.2,7/16,13/25,23/37
,,0.05,0.1,8/18,18/34,32/53
0.55,0.75,0.1,0.1,13/23,22/35,24/38
,,0.05,0.2,8/15,14/23,24/36
,,0.05,0.1,12/22,21/35,32/49
0.6,0.8,0.1,0.1,8/15,14/22,24/35
,,0.05,0.2,9/15,23/32,24/34
,,0.05,0.1,15/26,24/37,32/45
0.65,0.85,0.1,0.1,4/8,11/17,23/31
,,0.05,0.2,6/10,13/18,23/30
,,0.05,0.2,16/24,28/37,30/40
0.7,0.9,0.1,0.1,5/9,13/18,20/25
,,0.05,0.2,4/7,19/23,20/25
,,0.05,0.1,5/9,12/17,26/32
0.75,0.95,0.1,0.1,3/5,6/8,16/19
,,0.05,0.2,6/8,14/16,17/20
,,0.05,0.1,9/12,19/22,22/26
