p0,p1,alpha,beta,ri_ni,Rj_Nj
0.05,0.2,0.1,0.1,"0/15-16,1/17-22","2/30-31,3/32-37"
,,0.05,0.2,"0/10-12,1/13-17",3/27-34
,,0.05,0.1,1/17-24,"4/41-46,5/47-48"
0.1,0.25,0.1,0.1,"2/19-25,3/26","6/44-45,7/46-51"
,,0.05,0.2,"1/13-15,2/16-20","6/40,7/41-45,8/46-47"
,,0.05,0.1,"2/21-24,3/25-28","9/57-61,10/62-64"
0.2,0.35,0.1,0.1,"6/28-31,7/32-35","15/62,16/63-65,17/66-68,18/69"
,,0.05,0.2,"4/18-21,5/22-24,6/25","17/62-64,18/65-69,"
,,0.05,0.2,"6/31,7/32-34,8/35-38","22/82-85,23/86-89"
0.3,0.45,0.1,0.1,"9/31,10/32-33,11/34-37,12/38","27/75-77,28/78-80,29/81-82"
,,0.05,0.2,"7/23,8/24-25,9/26-29,10/30","27/73,28/74-76,29/77-78,30/79-80"
,,0.05,0.2,"11/35-36,12/37-39,13/40-42","36/98-99,37/100-102,38/103-104,39/105"
0.4,0.55,0.1,0.1,"12/30-31,13/32-33,14/34-35,15/36-37","37/80-81,38/82-84,39/85-86,40/87"
,,0.05,0.2,"11/25-26,12/27-29,13/30-31,14/32","37/78,38/79-80,39/81-82,40/83-85"
,,0.05,0.1,"16/38-39,17/40-41,18/42-44,19/45","49/104-105,50/106-107,51/108-109,52/110-111"
0.5,0.65,0.1,0.1,"15/30,16/31-32,17/33-34,18/35-36,19/37","44/78-79,45/80-81,46/82-83,47/84,48/85"
,,0.05,0.2,"12/23,13/24-25,14/26-27,15/28-29,16/30","45/77-78,46/79-80,47/81-82,48/83,49/84"
,,0.05,0.1,"21/40,22/41-42,23/43-44,24/45-46,25/47","59/103-104,60/105-106,61/107,62/108-109,63/110"
0.6,0.75,0.1,0.1,"16/27,17/28,18/29-30,19/31-32,20/33,21/34","44/67,45/68,46/69-70,47/71,48/72,49/73-74"
,,0.05,0.2,"14/22-23,15/24,16/25","46/68,47/69,48/70-71"
,,0.05,0.1,"20/32-33,21/34,22/36-36,23/37/24/38-39","61/90-91,62/92,63/93-94,64/95,65/96-97"
0.7,0.85,0.1,0.1,"13/19,14/20,15/21,16/22-23,17/24,18/25-26","40/53,41/54,42/55,43/56,44/57-58,45/59,46/60"
,,0.05,0.2,"9/13,10/14,11/15,12/16-17,13/18,14/19,15/20","44/56-57,45/58,46/59,47/60,48/61-62,49/63"
,,0.05,0.1,"17/24,18/26,19/26,20/27-28,21/29,22/30,23/31","57/73-74,58/75,59/76-77,60/78,61/79,62/80"
0.8,0.95,0.1,0.1,"8/10,9/11,10/12-13,11/14,12/15,13/16,14/17","24/28,25/29,26/30,27/31,28/32,29/33,30/34-35"
,,0.05,0.2,"7/9,8/10,9/11,10/12, 11/13,12/14,13/15,14/16","25/28,26/29,27/30,28/31-32, 29/33,30/34,31/35"
,,0.05,0.1,"10/12,11/13-14,12/15,13/16, 14/17,15/18,16/19","35/40,36/41,37/42,38/43,39/44, 40/45-46,41/47"
