p0,p1,alpha,beta,S1_r1_n1,S2_r2_n1n2,S3_r3_n1n2n3
0.05,0.2,0.1,0.1,0/13,1/22,3/37
,,0.05,0.2,0/10,1/19,3/30
,,0.05,0.1,0/14,2/29,4/43
0.1,0.25,0.1,0.1,1/17,3/29,7/50
,,0.05,0.2,1/13,3/24,8/53
,,0.05,0.1,1/17,4/34,10/66
0.15,0.3,0.1,0.1,2/20,5/33,11/55
,,0.05,0.2,2/15,6/33,13/62
,,0.05,0.1,3/23,8/46,16/77
0.2,0.35,0.1,0.1,3/21,8/37,17/68
,,0.05,0.2,3/17,9/37,18/68
,,0.05,0.1,5/27,11/49,23/88
0.25,0.4,0.1,0.1,4/20,10/39,24/80
,,0.05,0.2,4/17,12/42,25/79
,,0.05,0.1,6/26,15/54,32/103
0.3,0.45,0.1,0.1,6/24,14/44,28/79
,,0.05,0.2,5/18,14/41,31/84
,,0.05,0.1,8/29,19/57,38/104
0.35,0.5,0.1,0.1,7/23,18/49,34/84
,,0.05,0.2,6/19,17/43,34/80
,,0.05,0.1,9/28,23/60,45/108
0.4,0.55,0.1,0.1,7/21,19/46,38/83
,,0.05,0.2,7/19,19/43,39/82
,,0.05,0.1,12/31,28/64,54/116
0.45,0.6,0.1,0.1,12/28,27/56,43/85
,,0.05,0.2,8/19,21/42,45/86
,,0.05,0.1,13/30,29/60,58/112
0.5,0.65,0.1,0.1,10/22,25/48,48/86
,,0.05,0.2,8/17,21/39,49/85
,,0.05,0.1,14/29,34/63,62/109
0.55,0.7,0.1,0.1,13/25,25/44,47/77
,,0.05,0.2,7/14,23/39,49/78
,,0.05,0.1,15/28,36/61,65/105
0.6,0.75,0.1,0.1,11/20,26/42,57/71
,,0.05,0.2,8/14,23/36,52/77
,,0.05,0.1,14/24,36/56,70/105
0.65,0.8,0.1,0.1,11/18,27/40,49/69
,,0.05,0.2,8/13,27/38,52/72
,,0.05,0.2,16/25,35/50,66/92
0.7,0.85,0.1,0.1,14/20,18/37,45/59
,,0.05,0.2,4/7,11/16,44/56
,,0.05,0.1,12/18,28/38,58/75
0.75,0.9,0.1,0.1,10/14,23/29,38/47
,,0.05,0.2,9/12,21/26,39/47
,,0.05,0.1,10/14,23/29,55/67
0.8,0.95,0.1,0.1,5/7,16/19,30/35
,,0.05,0.2,2/3,16/19,35/40
,,0.05,0.1,6/8,24/28,41/47
0.05,0.25,0.1,0.1,0/9,1/18,2/26
,,0.05,0.2,0/8,1/13,2/19
,,0.05,0.1,0/10,1/17,3/30
0.1,0.3,0.1,0.1,0/10,2/19,4/26
,,0.05,0.2,0/6,2/17,5/29
,,0.05,0.1,1/13,3/23,7/45
0.15,0.35,0.1,0.1,1/12,3/21,7/33
,,0.05,0.2,1/9,4/21,8/35
,,0.05,0.1,2/15,5/27,11/51
0.2,0.4,0.1,0.1,1/10,6/26,11/43
,,0.05,0.2,1/8,5/22,11/38
,,0.05,0.1,3/17,7/30,14/50
0.25,0.45,0.1,0.1,3/16,7/25,13/41
,,0.05,0.2,2/10,6/20,16/48
,,0.05,0.1,4/18,10/33,19/58
0.3,0.5,0.1,0.1,3/13,9/28,17/46
,,0.05,0.2,3/11,7/21,18/46
,,0.05,0.1,4/16,11/32,23/60
0.35,0.55,0.1,0.1,6/18,13/33,20/48
,,0.05,0.2,3/10,9/23,21/47
,,0.05,0.1,6/18,15/38,27/62
0.4,0.6,0.1,0.1,7/18,9/26,22/46
,,0.05,0.2,3/9,10/23,23/46
,,0.05,0.1,6/16,17/38,32/66
0.45,0.65,0.1,0.1,5/13,13/27,26/50
,,0.05,0.2,3/8,10/20,29/54
,,0.05,0.1,6/15,17/34,34/63
0.5,0.7,0.1,0.1,4/10,12/24,26/45
,,0.05,0.2,4/9,13/23,29/49
,,0.05,0.1,7/15,19/34,38/65
0.55,0.75,0.1,0.1,5/11,12/21,27/43
,,0.05,0.2,6/11,14/23,28/43
,,0.05,0.1,7/14,16/27,36/56
0.6,0.8,0.1,0.1,6/11,14/22,29/43
,,0.05,0.2,5/9,12/48,28/40
,,0.05,0.1,6/11,19/29,38/55
0.65,0.85,0.1,0.1,5/9,13/19,25/34
,,0.05,0.2,5/8,13/18,27/36
,,0.05,0.1,6/10,16/23,35/47
0.7,0.9,0.1,0.1,5/8,11/15,22/28
,,0.05,0.2,3/5,10/13,25/31
,,0.05,0.1,6/9,16/21,31/39
0.75,0.95,0.1,0.1,3/5,6/8,16/19
,,0.05,0.2,1/2,9/11,19/22
,,0.05,0.1,6/8,13/16,24/28
