p0,p1,alpha,beta,S1_r1_n1,S2_r2_n1n2,S3_r3_n1n2n3
0.05,0.2,0.1,0.1,0/12,1/25,3/38
,,0.05,0.2,0/10,2/24,3/31
,,0.05,0.1,0/14,2/29,4/4
0.1,0.25,0.1,0.1,0/11,3/29,7/50
,,0.05,0.2,0/9,3/25,7/43
,,0.05,0.1,0/13,3/27,10/66
0.15,0.3,0.1,0.1,0/12,4/28,11/55
,,0.05,0.2,0/9,5/27,12/56
,,0.05,0.1,0/13,6/35,16/77
0.2,0.35,0.1,0.1,0/11,7/34,16/63
,,0.05,0.2,0/6,6/28,18/67
,,0.05,0.1,0/9,10/44,23/88
0.25,0.4,0.1,0.1,0/8,8/32,23/76
,,0.05,0.2,0/6,7/26,24/75
,,0.05,0.1,0/9,11/41,30/95
0.3,0.45,0.1,0.1,0/7,13/41,28/79
,,0.05,0.2,0/7,9/27,31/84
,,0.05,0.1,0/9,14/43,38/104
0.35,0.5,0.1,0.1,0/9,12/34,33/81
,,0.05,0.2,0/5,12/31,37/88
,,0.05,0.1,0/8,17/45,45/108
0.4,0.55,0.1,0.1,0/11,16/38,40/88
,,0.05,0.2,0/5,14/32,40/84
,,0.05,0.1,0/10,19/45,49/104
0.45,0.6,0.1,0.1,0/6,15/34,40/78
,,0.05,0.2,0/5,12/25,47/90
,,0.05,0.1,0/6,20/42,59/114
0.5,0.65,0.1,0.1,0/5,16/32,46/84
,,0.05,0.2,0/5,12/25,47/90
,,0.05,0.1,0/6,20/42,59/114
0.55,0.7,0.1,0.1,0/7,19/34,46/75
,,0.05,0.2,0/5,15/26,48/76
,,0.05,0.1,0/5,23/40,64/96
0.6,0.75,0.1,0.1,0/5,21/34,47/71
,,0.05,0.2,0/5,13/21,49/72
,,0.05,0.1,0/5,14/23,90/98
0.65,0.8,0.1,0.1,0/5,17/26,47/66
,,0.05,0.2,0/5,12/18,49/67
,,0.05,0.2,0/5,8/13,74/78
0.7,0.85,0.1,0.1,0/5,14/20,45/59
,,0.05,0.2,0/5,14/19,46/59
,,0.05,0.1,0/5,12/17,68/72
0.75,0.9,0.1,0.1,0/5,16/21,36/44
,,0.05,0.2,0/5,10/13,40/48
,,0.05,0.1,0/5,8/11,55/57
0.8,0.95,0.1,0.1,0/5,5/7,27/31
,,0.05,0.2,0/5,7/9,26/29
,,0.05,0.1,0/5,8/10,44/45
0.05,0.25,0.1,0.1,0/9,1/19,2/25
,,0.05,0.2,0/7,1/15,3/26
,,0.05,0.1,0/9,1/22,3/30
0.1,0.3,0.1,0.1,0/10,2/19,4/26
,,0.05,0.2,0/6,2/17,5/29
,,0.05,0.1,0/9,3/22,7/45
0.15,0.35,0.1,0.1,0/9,2/16,7/33
,,0.05,0.2,0/5,3/17,9/41
,,0.05,0.1,0/9,4/23,10/44
0.2,0.4,0.1,0.1,0/8,3/16,11/42
,,0.05,0.2,0/5,4/17,12/43
,,0.05,0.1,0/9,4/23,15/54
0.25,0.45,0.1,0.1,0/6,6/23,14/44
,,0.05,0.2,0/5,5/17,16/48
,,0.05,0.1,0/7,6/22,20/61
0.3,0.5,0.1,0.1,0/6,6/20,17/46
,,0.05,0.2,0/5,5/15,19/49
,,0.05,0.1,0/8,8/24,24/63
0.35,0.55,0.1,0.1,0/6,7/20,20/47
,,0.05,0.2,0/6,8/20,19/42
,,0.05,0.1,0/5,10/26,29/67
0.4,0.6,0.1,0.1,0/5,8/20,22/46
,,0.05,0.2,0/5,7/16,24/48
,,0.05,0.1,0/5,9/22,30/61
0.45,0.65,0.1,0.1,0/5,10/21,26/50
,,0.05,0.2,0/5,7/15,24/43
,,0.05,0.1,0/5,15/30,32/59
0.5,0.7,0.1,0.1,0/5,11/21,26/45
,,0.05,0.2,0/5,8/15,26/43
,,0.05,0.1,0/5,12/23,34/57
0.55,0.75,0.1,0.1,0/5,10/18,26/41
,,0.05,0.2,0/5,9/15,28/43
,,0.05,0.1,0/5,10/18,35/54
0.6,0.8,0.1,0.1,0/5,6/11,26/38
,,0.05,0.2,0/5,7/11,30/43
,,0.05,0.1,0/5,12/19,37/53
0.65,0.85,0.1,0.1,0/5,10/15,25/34
,,0.05,0.2,0/5,10/14,25/33
,,0.05,0.2,0/5,10/15,33/44
0.7,0.9,0.1,0.1,0/5,6/9,22/28
,,0.05,0.2,0/5,4/6,22/27
,,0.05,0.1,0/5,11/15,29/36
0.75,0.95,0.1,0.1,0/5,6/8,16/19
,,0.05,0.2,0/5,9/11,19/22
,,0.05,0.1,0/5,7/9,24/28
