k,alpha0.01beta0.20,alpha0.05beta0.20,alpha0.10beta0.20,alpha0.01beta0.10,alpha0.05beta0.10,alpha0.10beta0.10
1,1,1,1,1,1,1
2,1.092,1.11,1.121,1.084,1.1,1.11
3,1.137,1.166,1.184,1.125,1.151,1.166
4,1.166,1.202,1.224,1.152,1.183,1.202
5,1.187,1.229,1.254,1.17,1.207,1.228
6,1.203,1.249,1.277,1.185,1.225,1.249
7,1.216,1.265,1.296,1.197,1.239,1.266
8,1.226,1.279,1.311,1.206,1.252,1.28
9,1.236,1.291,1.325,1.215,1.262,1.292
10,1.243,1.301,1.337,1.222,1.271,1.302
11,1.25,1.31,1.348,1.228,1.279,1.312
12,1.257,1.318,1.357,1.234,1.287,1.32
15,1.272,1.338,1.381,1.248,1.305,1.341
20,1.291,1.363,1.411,1.264,1.327,1.367
