alpha,beta,delta,K,Cw1,Cw2,Rw
0.05,0.2,-0.5,1,1.96,0.842,1
0.05,0.2,-0.5,2,1.949,0.867,1.01
0.05,0.2,-0.5,3,1.933,0.901,1.023
0.05,0.2,-0.5,4,1.929,0.919,1.033
0.05,0.2,-0.5,5,1.927,0.932,1.041
0.05,0.2,-0.5,10,1.928,0.964,1.066
0.05,0.2,-0.5,15,1.931,0.979,1.078
0.05,0.2,-0.5,20,1.932,0.988,1.087
0.05,0.2,-0.25,1,1.96,0.842,1
0.05,0.2,-0.25,2,1.936,0.902,1.026
0.05,0.2,-0.25,3,1.932,0.925,1.04
0.05,0.2,-0.25,4,1.93,0.953,1.059
0.05,0.2,-0.25,5,1.934,0.958,1.066
0.05,0.2,-0.25,10,1.942,0.999,1.102
0.05,0.2,-0.25,15,1.948,1.017,1.12
0.05,0.2,-0.25,20,1.952,1.027,1.131
0.05,0.2,0,1,1.96,0.842,1
0.05,0.2,0,2,1.935,0.948,1.058
0.05,0.2,0,3,1.95,0.955,1.075
0.05,0.2,0,4,1.953,0.995,1.107
0.05,0.2,0,5,1.958,1.017,1.128
0.05,0.2,0,10,1.98,1.057,1.175
0.05,0.2,0,15,1.991,1.075,1.198
0.05,0.2,0,20,1.998,1.087,1.212
0.05,0.2,0.25,1,1.96,0.842,1
0.05,0.2,0.25,2,1.982,1,1.133
0.05,0.2,0.25,3,2.009,1.059,1.199
0.05,0.2,0.25,4,2.034,1.059,1.219
0.05,0.2,0.25,5,2.048,1.088,1.252
0.05,0.2,0.25,10,2.088,1.156,1.341
0.05,0.2,0.25,15,2.109,1.18,1.379
0.05,0.2,0.25,20,2.122,1.195,1.4
0.05,0.1,-0.5,1,1.96,1.282,1
0.05,0.1,-0.5,2,1.96,1.282,1
0.05,0.1,-0.5,3,1.952,1.305,1.01
0.05,0.1,-0.5,4,1.952,1.316,1.016
0.05,0.1,-0.5,5,1.952,1.326,1.023
0.05,0.1,-0.5,10,1.958,1.351,1.042
0.05,0.1,-0.5,15,1.963,1.363,1.053
0.05,0.1,-0.5,20,1.967,1.37,1.06
0.05,0.1,-0.25,1,1.96,1.282,1
0.05,0.1,-0.25,2,1.957,1.294,1.006
0.05,0.1,-0.25,3,1.954,1.325,1.023
0.05,0.1,-0.25,4,1.958,1.337,1.033
0.05,0.1,-0.25,5,1.96,1.351,1.043
0.05,0.1,-0.25,10,1.975,1.379,1.071
0.05,0.1,-0.25,15,1.982,1.394,1.085
0.05,0.1,-0.25,20,1.988,1.403,1.094
0.05,0.1,0,1,1.96,1.282,1
0.05,0.1,0,2,1.958,1.336,1.032
0.05,0.1,0,3,1.971,1.353,1.051
0.05,0.1,0,4,1.979,1.381,1.075
0.05,0.1,0,5,1.99,1.385,1.084
0.05,0.1,0,10,2.013,1.428,1.127
0.05,0.1,0,15,2.026,1.447,1.148
0.05,0.1,0,20,2.034,1.458,1.16
0.05,0.1,0.25,1,1.96,1.282,1
0.05,0.1,0.25,2,2.003,1.398,1.1
0.05,0.1,0.25,3,2.037,1.422,1.139
0.05,0.1,0.25,4,2.058,1.443,1.167
0.05,0.1,0.25,5,2.073,1.477,1.199
0.05,0.1,0.25,10,2.119,1.521,1.261
0.05,0.1,0.25,15,2.14,1.551,1.297
0.05,0.1,0.25,20,2.154,1.565,1.316
