"","id","Xw1","Xb1","Xb2","Y"
"1","s1","A","CG","f",63.3333333333333
"2","s2","A","CG","f",108.8
"3","s3","A","CG","f",36.5
"4","s4","A","CG","f",46.0666666666667
"5","s5","A","CG","f",42
"6","s6","A","CG","f",64.1333333333333
"7","s7","A","CG","f",26.3333333333333
"8","s8","A","CG","f",0.100000000000001
"9","s9","A","CG","f",49.3333333333333
"10","s10","A","CG","f",78.8666666666667
"11","s11","A","CG","f",65.2666666666667
"12","s12","A","CG","f",61.4333333333333
"13","s13","A","CG","f",73.6666666666667
"14","s14","A","CG","f",14.2333333333333
"15","s15","A","CG","f",67.4666666666667
"16","s16","A","CG","f",78.5333333333333
"17","s17","A","CG","f",49.3666666666667
"18","s18","A","CG","f",14.9333333333333
"19","s19","A","CG","f",69.7666666666667
"20","s20","A","CG","f",49.6666666666667
"21","s1","B","CG","f",101.9
"22","s2","B","CG","f",106.466666666667
"23","s3","B","CG","f",90.0333333333333
"24","s4","B","CG","f",64.7666666666667
"25","s5","B","CG","f",60.5
"26","s6","B","CG","f",103.033333333333
"27","s7","B","CG","f",112.466666666667
"28","s8","B","CG","f",109.3
"29","s9","B","CG","f",87.4333333333333
"30","s10","B","CG","f",98.3
"31","s11","B","CG","f",99.5333333333333
"32","s12","B","CG","f",67.9
"33","s13","B","CG","f",73.4333333333333
"34","s14","B","CG","f",145.466666666667
"35","s15","B","CG","f",94.4666666666667
"36","s16","B","CG","f",44.7666666666667
"37","s17","B","CG","f",78.3333333333333
"38","s18","B","CG","f",94.4333333333333
"39","s19","B","CG","f",100.466666666667
"40","s20","B","CG","f",132.766666666667
"41","s1","C","CG","f",117.766666666667
"42","s2","C","CG","f",150.633333333333
"43","s3","C","CG","f",74.3
"44","s4","C","CG","f",112.3
"45","s5","C","CG","f",118.033333333333
"46","s6","C","CG","f",105.633333333333
"47","s7","C","CG","f",81.8666666666667
"48","s8","C","CG","f",100.066666666667
"49","s9","C","CG","f",124.866666666667
"50","s10","C","CG","f",104.7
"51","s11","C","CG","f",116.1
"52","s12","C","CG","f",117.033333333333
"53","s13","C","CG","f",122
"54","s14","C","CG","f",93.8666666666667
"55","s15","C","CG","f",93.0666666666667
"56","s16","C","CG","f",145.3
"57","s17","C","CG","f",135.5
"58","s18","C","CG","f",58.9
"59","s19","C","CG","f",92.2
"60","s20","C","CG","f",80.9666666666667
"61","s41","A","T","f",100.5
"62","s42","A","T","f",118.066666666667
"63","s43","A","T","f",114.3
"64","s44","A","T","f",159.766666666667
"65","s45","A","T","f",137.6
"66","s46","A","T","f",119.966666666667
"67","s47","A","T","f",69.3
"68","s48","A","T","f",89.0333333333333
"69","s49","A","T","f",114.866666666667
"70","s50","A","T","f",86.3666666666667
"71","s51","A","T","f",83.3666666666667
"72","s52","A","T","f",88.8666666666667
"73","s53","A","T","f",149.833333333333
"74","s54","A","T","f",86.2
"75","s55","A","T","f",117.633333333333
"76","s56","A","T","f",144.466666666667
"77","s57","A","T","f",85.2666666666667
"78","s58","A","T","f",90.8333333333333
"79","s59","A","T","f",92.4
"80","s60","A","T","f",112.866666666667
"81","s41","B","T","f",89.6
"82","s42","B","T","f",136.8
"83","s43","B","T","f",95.5333333333333
"84","s44","B","T","f",115.7
"85","s45","B","T","f",108.366666666667
"86","s46","B","T","f",118.633333333333
"87","s47","B","T","f",119.8
"88","s48","B","T","f",54.6666666666667
"89","s49","B","T","f",96.0333333333333
"90","s50","B","T","f",151.133333333333
"91","s51","B","T","f",151.7
"92","s52","B","T","f",109.1
"93","s53","B","T","f",112.533333333333
"94","s54","B","T","f",84.7
"95","s55","B","T","f",95.4
"96","s56","B","T","f",77.6
"97","s57","B","T","f",73.0666666666667
"98","s58","B","T","f",89.9666666666667
"99","s59","B","T","f",65.3666666666667
"100","s60","B","T","f",70.6666666666667
"101","s41","C","T","f",93.1
"102","s42","C","T","f",72.7666666666667
"103","s43","C","T","f",117.833333333333
"104","s44","C","T","f",108.8
"105","s45","C","T","f",147
"106","s46","C","T","f",130.733333333333
"107","s47","C","T","f",96.6333333333333
"108","s48","C","T","f",106.566666666667
"109","s49","C","T","f",105.4
"110","s50","C","T","f",106.933333333333
"111","s51","C","T","f",123.333333333333
"112","s52","C","T","f",112.333333333333
"113","s53","C","T","f",109.566666666667
"114","s54","C","T","f",118.1
"115","s55","C","T","f",91.5333333333333
"116","s56","C","T","f",98.8
"117","s57","C","T","f",77.6333333333333
"118","s58","C","T","f",157.533333333333
"119","s59","C","T","f",81.9333333333333
"120","s60","C","T","f",102.133333333333
"121","s21","A","CG","m",85.4
"122","s22","A","CG","m",135.633333333333
"123","s23","A","CG","m",81.3333333333333
"124","s24","A","CG","m",129
"125","s25","A","CG","m",111.766666666667
"126","s26","A","CG","m",75.0666666666667
"127","s27","A","CG","m",111.266666666667
"128","s28","A","CG","m",118.8
"129","s29","A","CG","m",120.833333333333
"130","s30","A","CG","m",153.2
"131","s31","A","CG","m",82.5
"132","s32","A","CG","m",154.066666666667
"133","s33","A","CG","m",154.2
"134","s34","A","CG","m",79.6333333333333
"135","s35","A","CG","m",88.5666666666667
"136","s36","A","CG","m",133.033333333333
"137","s37","A","CG","m",84.1666666666667
"138","s38","A","CG","m",51.5
"139","s39","A","CG","m",115.1
"140","s40","A","CG","m",98.1
"141","s21","B","CG","m",185.5
"142","s22","B","CG","m",104.666666666667
"143","s23","B","CG","m",114.166666666667
"144","s24","B","CG","m",156.933333333333
"145","s25","B","CG","m",97.5
"146","s26","B","CG","m",174.2
"147","s27","B","CG","m",127.8
"148","s28","B","CG","m",135.233333333333
"149","s29","B","CG","m",39.3
"150","s30","B","CG","m",78.3333333333333
"151","s31","B","CG","m",96.9
"152","s32","B","CG","m",137.366666666667
"153","s33","B","CG","m",84.2
"154","s34","B","CG","m",112.3
"155","s35","B","CG","m",64.5
"156","s36","B","CG","m",76.9
"157","s37","B","CG","m",112.066666666667
"158","s38","B","CG","m",117.366666666667
"159","s39","B","CG","m",134.733333333333
"160","s40","B","CG","m",96.1
"161","s21","C","CG","m",66.1666666666667
"162","s22","C","CG","m",103.4
"163","s23","C","CG","m",112.133333333333
"164","s24","C","CG","m",129.966666666667
"165","s25","C","CG","m",65
"166","s26","C","CG","m",76.1
"167","s27","C","CG","m",111.8
"168","s28","C","CG","m",105.033333333333
"169","s29","C","CG","m",127.066666666667
"170","s30","C","CG","m",82.3666666666667
"171","s31","C","CG","m",73.8333333333333
"172","s32","C","CG","m",93.4666666666667
"173","s33","C","CG","m",92.0666666666667
"174","s34","C","CG","m",123.3
"175","s35","C","CG","m",101.166666666667
"176","s36","C","CG","m",78.8333333333333
"177","s37","C","CG","m",132.566666666667
"178","s38","C","CG","m",132.333333333333
"179","s39","C","CG","m",106.533333333333
"180","s40","C","CG","m",107.766666666667
"181","s61","A","T","m",101.666666666667
"182","s62","A","T","m",95.7
"183","s63","A","T","m",92.1666666666667
"184","s64","A","T","m",124.933333333333
"185","s65","A","T","m",140.233333333333
"186","s66","A","T","m",106.933333333333
"187","s67","A","T","m",56.1666666666667
"188","s68","A","T","m",63.9333333333333
"189","s69","A","T","m",88.3333333333333
"190","s70","A","T","m",75.5666666666667
"191","s71","A","T","m",115.766666666667
"192","s72","A","T","m",58.3
"193","s73","A","T","m",140.866666666667
"194","s74","A","T","m",116.633333333333
"195","s75","A","T","m",179
"196","s76","A","T","m",119.266666666667
"197","s77","A","T","m",147.366666666667
"198","s78","A","T","m",109.966666666667
"199","s79","A","T","m",63.6666666666667
"200","s80","A","T","m",109.366666666667
"201","s61","B","T","m",108.2
"202","s62","B","T","m",93
"203","s63","B","T","m",119.666666666667
"204","s64","B","T","m",79.5666666666667
"205","s65","B","T","m",139.2
"206","s66","B","T","m",121.566666666667
"207","s67","B","T","m",56.4666666666667
"208","s68","B","T","m",101.866666666667
"209","s69","B","T","m",142.4
"210","s70","B","T","m",101.033333333333
"211","s71","B","T","m",142.866666666667
"212","s72","B","T","m",81.3333333333333
"213","s73","B","T","m",111.633333333333
"214","s74","B","T","m",168.966666666667
"215","s75","B","T","m",131.033333333333
"216","s76","B","T","m",77.8666666666667
"217","s77","B","T","m",117.833333333333
"218","s78","B","T","m",102.533333333333
"219","s79","B","T","m",74.3
"220","s80","B","T","m",119.866666666667
"221","s61","C","T","m",70.4666666666667
"222","s62","C","T","m",90.5
"223","s63","C","T","m",100.9
"224","s64","C","T","m",74.3
"225","s65","C","T","m",98.9333333333333
"226","s66","C","T","m",100.8
"227","s67","C","T","m",119.333333333333
"228","s68","C","T","m",91.1
"229","s69","C","T","m",78.1
"230","s70","C","T","m",114.666666666667
"231","s71","C","T","m",121.2
"232","s72","C","T","m",117.133333333333
"233","s73","C","T","m",128.533333333333
"234","s74","C","T","m",82.8666666666667
"235","s75","C","T","m",114.233333333333
"236","s76","C","T","m",102.766666666667
"237","s77","C","T","m",79
"238","s78","C","T","m",127.666666666667
"239","s79","C","T","m",72.1333333333333
"240","s80","C","T","m",114.133333333333
