"","date","lan","lon"
"10","2015-07-22","33.29","104.60"
"33","2015-07-22","40.01","97.95"
"34","2015-07-22","36.83","103.65"
"35","2015-07-22","35.32","106.53"
"39","2015-07-22","36.06","103.49"
"40","2015-07-22","39.20","97.81"
"47","2015-07-22","35.03","102.58"
"56","2015-07-22","33.74","105.64"
"103","2015-07-22","37.49","102.20"
"119","2015-07-22","38.47","100.24"
"124","2015-07-22","37.62","102.54"
"163","2015-07-21","39.10","100.00"
"186","2015-07-21","35.09","104.14"
"299","2015-07-21","34.41","105.47"
"366","2015-07-20","37.42","102.90"
"380","2015-07-20","36.75","103.54"
"426","2015-07-20","37.53","102.58"
"430","2015-07-20","39.11","99.89"
"457","2015-07-20","37.10","103.70"
"459","2015-07-20","38.99","99.28"
"483","2015-07-19","37.55","102.86"
"487","2015-07-19","35.61","104.79"
"498","2015-07-19","37.10","103.70"
"514","2015-07-19","39.85","94.31"
"519","2015-07-19","33.63","104.67"
"521","2015-07-19","39.11","99.89"
"534","2015-07-19","40.02","98.05"
"535","2015-07-19","36.86","103.75"
"537","2015-07-19","36.78","103.73"
"542","2015-07-19","38.35","102.09"
"555","2015-07-19","34.59","104.11"
"561","2015-07-19","36.68","102.91"
"652","2015-07-18","34.61","105.14"
"699","2015-07-18","40.68","96.67"
"738","2015-07-18","37.10","103.70"
"742","2015-07-18","34.60","104.17"
"778","2015-07-18","33.54","105.23"
"786","2015-07-18","34.05","103.80"
"788","2015-07-18","37.44","102.78"
"801","2015-07-18","39.42","98.63"
